,portfolio
2010-08-11,-0.0001127324032702895
2010-08-12,0.003862124749181527
2010-08-13,0.011801802865146552
2010-08-16,0.0020202505024813416
2010-08-17,0.002690042901102454
2010-08-18,0.0004002277697207466
2010-08-19,-0.0024635929986166366
2010-08-20,-0.0016577737964509672
2010-08-23,0.002334099795830983
2010-08-24,0.002124581867488766
2010-08-25,0.0005646118461124215
2010-08-26,-0.0060065993800096
2010-08-27,0.0022767394132232424
2010-08-30,0.0068161267258184475
2010-08-31,0.001158456961790227
2010-09-01,0.00022483357482492683
2010-09-02,-0.001359218409321013
2010-09-03,0.005854283310478154
2010-09-07,-0.00015598180768256178
2010-09-08,-0.008716312595294328
2010-09-09,0.0002787094987144576
2010-09-10,0.0055953481912533656
2010-09-13,0.00850084786046369
2010-09-14,-0.004806009469520947
2010-09-15,-0.002674917114935599
2010-09-16,0.0015665186547205753
2010-09-17,0.008287043993077503
2010-09-20,0.007082657196702875
2010-09-21,0.0022249501243222195
2010-09-22,-0.001507203633464691
2010-09-23,0.0025028125046186347
2010-09-24,0.00527511413133018
2010-09-27,0.006168491931483999
2010-09-28,-0.002079248113085067
2010-09-29,-0.0013846301258665602
2010-09-30,0.001478253133667057
2010-10-01,-0.0024794977266132607
2010-10-04,0.017229150172940598
2010-10-05,0.0030660674858427432
2010-10-06,-0.004368159445755378
2010-10-07,0.0026577943621169014
2010-10-08,0.001700646350203762
2010-10-11,-0.0025587332675058613
2010-10-12,0.006056887168425286
2010-10-13,-0.006126277175830102
2010-10-14,-0.005895053717624672
2010-10-15,0.006058527521853219
2010-10-18,-0.01009690424562313
2010-10-19,0.006580137029892045
2010-10-20,-0.007553415734377804
2010-10-21,0.0038446829980377578
2010-10-22,0.004342388218526238
2010-10-25,-0.006108715221850032
2010-10-26,-0.007147144937188684
2010-10-27,0.004052404711652471
2010-10-28,0.004039385442772613
2010-10-29,-0.001535297684138429
2010-11-01,0.007759971081762901
2010-11-02,-0.0011968605912299358
2010-11-03,0.02150830409682586
2010-11-04,0.001352983040761062
2010-11-05,0.0017819850859381058
2010-11-08,-0.010921863037560538
2010-11-09,0.005772966269426333
2010-11-10,-0.0017416116326826013
2010-11-11,-0.0155979513607739
2010-11-12,-0.005415820311847765
2010-11-15,-0.010505470916317415
2010-11-16,-0.0013513584570350357
2010-11-17,0.013161734675624209
2010-11-18,0.002606442685531572
2010-11-19,0.002291935979388547
2010-11-22,-0.007249652253299988
2010-11-23,0.007303729408536865
2010-11-24,-0.006560780046153616
2010-11-26,0.0035682526108972547
2010-11-29,0.00040562123550222243
2010-11-30,0.011357056313980943
2010-12-01,0.007679087568734036
2010-12-02,0.0062121850718173275
2010-12-03,0.0025903001166291684
2010-12-06,-0.006528419986999494
2010-12-07,-0.00174562098192973
2010-12-08,0.004091234601314481
2010-12-09,0.00323429745590136
2010-12-10,0.001971540175104901
2010-12-13,-0.0006526376672117676
2010-12-14,-0.007021309930539704
2010-12-15,0.0027932189713107455
2010-12-16,0.003230839446693494
2010-12-17,0.0031490558243315305
2010-12-20,0.005191846456013987
2010-12-21,0.0008020827245788883
2010-12-22,-0.0018579444722232187
2010-12-23,0.0018154747299742563
2010-12-27,0.002993286212800221
2010-12-28,0.0030335314079675394
2010-12-29,-0.002346037205979405
2010-12-30,0.004319998140014457
2010-12-31,0.004627147384546219
2011-01-03,-0.006198735303158261
2011-01-04,0.0004364692538513759
2011-01-05,-0.0018446595902736234
2011-01-06,-0.0012125502982616926
2011-01-07,0.0007301859965068765
2011-01-10,0.003206076383474534
2011-01-11,0.006073840936344784
2011-01-12,-0.0027872859684818308
2011-01-13,0.0015023217735179112
2011-01-14,0.0020262890437460334
2011-01-18,-0.005142938750254898
2011-01-19,-0.007007275724636139
2011-01-20,0.0019356888444411729
2011-01-21,0.0024478748278775777
2011-01-24,0.0007989326365716348
2011-01-25,0.003013482014389439
2011-01-26,-0.004181969401872489
2011-01-27,-0.0063770414046229115
2011-01-28,0.0038470323274821423
2011-01-31,0.01161093877294052
2011-02-01,-0.0018920022856758287
2011-02-02,0.003941827447969568
2011-02-03,-0.00020634132029064564
2011-02-04,0.004606159302889796
2011-02-07,0.004782331128067214
2011-02-08,-0.0007372605057955713
2011-02-09,-0.0013288488930199734
2011-02-10,0.004299511039954513
2011-02-11,0.0028149699578874
2011-02-14,-0.00023240582685101472
2011-02-15,0.0042777414055866015
